Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,PSG Talon,37:51,Orianna,2,6,3
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,PSG Talon,36:53,Orianna,2,3,8
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Loss,Red,PSG Talon,30:09,Jayce,0,4,1
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Chiefs Esports Club,26:08,Azir,2,2,14
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Chiefs Esports Club,26:54,Taliyah,5,0,5
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Win,Blue,Chiefs Esports Club,24:32,Jayce,5,1,2
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,Chiefs Esports Club,41:25,Orianna,3,4,9
2023-08-06,PCS PCS 2023 Summer,13.13,Win,Blue,Frank Esports,34:43,Tristana,0,0,6
2023-08-05,PCS PCS 2023 Summer,13.13,Loss,Red,HELL PIGS,48:46,Orianna,6,6,12
2023-08-04,PCS PCS 2023 Summer,13.13,Loss,Red,Beyond Gaming,31:12,Tristana,1,1,0
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,24:15,Tristana,5,1,5
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Blue,PSG Talon,42:11,Orianna,1,3,4
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,36:52,Orianna,1,1,8
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,40:03,Jayce,10,6,14
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,28:58,Jayce,6,2,9
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,24:56,Jayce,0,3,0
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,35:01,Tristana,4,5,2
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,25:11,Sylas,1,6,0
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,23:44,Azir,6,0,10
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,31:00,Jayce,0,4,0
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,21:21,Jayce,6,2,5
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,25:54,Tristana,6,1,5
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,42:29,Tristana,9,2,3
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,35:52,Orianna,4,2,1
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,24:53,Orianna,6,2,6
2023-04-07,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,33:51,Sylas,1,2,3
2023-04-07,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Frank Esports,30:27,Jayce,0,5,1
2023-04-07,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,38:08,Viktor,2,3,5
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Beyond Gaming,27:02,Orianna,5,0,10
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Beyond Gaming,23:45,Taliyah,4,1,7
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Beyond Gaming,39:13,Syndra,3,3,4
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Beyond Gaming,32:09,Galio,3,2,12
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Beyond Gaming,32:57,Syndra,2,3,1
2023-03-31,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,32:30,Viktor,1,3,0
2023-03-31,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,34:40,Viktor,0,4,3
2023-03-31,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,36:35,Viktor,3,2,5
2023-03-31,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,PSG Talon,35:40,Orianna,2,4,10
2023-03-31,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,PSG Talon,31:16,Orianna,4,1,4
2023-03-24,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Team Bliss,32:37,Taliyah,6,2,10
2023-03-24,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Team Bliss,43:11,Taliyah,3,4,18
2023-03-24,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Team Bliss,26:17,Galio,4,0,10
2023-03-11,PCS PCS 2023 Spring,13.4,Win,Blue,SEM9 WPE,27:11,Azir,6,2,7
2023-03-10,PCS PCS 2023 Spring,13.4,Win,Red,Beyond Gaming,40:02,Azir,7,2,8
2023-03-09,PCS PCS 2023 Spring,13.4,Win,Red,HELL PIGS,29:01,Jayce,6,0,5
2023-03-05,PCS PCS 2023 Spring,13.4,Loss,Blue,J Team,31:26,Azir,0,4,0
2023-03-04,PCS PCS 2023 Spring,13.4,Loss,Red,Frank Esports,44:17,Orianna,4,2,9
2023-03-03,PCS PCS 2023 Spring,13.4,Win,Blue,Dewish Team,25:30,Tristana,3,1,6
2023-02-26,PCS PCS 2023 Spring,13.3,Win,Red,Deep Cross Gaming,36:33,Viktor,2,5,3
2023-02-25,PCS PCS 2023 Spring,13.3,Loss,Red,PSG Talon,39:07,Azir,5,5,8
2023-02-24,PCS PCS 2023 Spring,13.3,Win,Red,CTBC Flying Oyster,38:09,Jayce,4,5,4
