Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Blue,Beyond Gaming,37:02,Nidalee,1,5,1
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Blue,J Team,33:60,Nocturne,6,5,4
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,HELL PIGS,29:40,Lillia,7,0,9
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,34:43,Wukong,2,2,2
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Red,CTBC Flying Oyster,31:32,Viego,6,0,11
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,24:07,Viego,8,0,7
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,24:19,Poppy,1,2,12
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,28:11,Poppy,7,2,6
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,22:26,Sejuani,3,1,8
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,42:29,Maokai,0,6,12
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Blue,CTBC Flying Oyster,48:18,Vi,0,6,11
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,35:37,Sejuani,2,6,5
